Description;Item no;Price
IE3-0.75kW-2P;313400;60,466
IE3-0.75kW-4P;313420;60,466
IE3-1.10kW-2P;313401;64,709
IE3-1.10kW-4P;313421;80,621
IE3-1.50kW-2P;313402;81,682
IE3-1.50kW-4P;313422;90,169
IE3-1.50kW-6P;313442;127,296
IE3-11.00kW-4P;313428;339,456
IE3-11.00kW-6P;313448;402,044
IE3-11.00kW-8P;313943;742,56
IE3-15.00kW-4P;313429;410,53
IE3-15.00kW-6P;313449;583,44
IE3-18.50kW-4P;313430;549,494
IE3-18.50kW-6P;313450;727,709
IE3-2.20kW-2P;313403;93,35
IE3-2.20kW-4P;313423;109,263
IE3-2.20kW-6P;313443;145,33
IE3-22.00kW-4P;313431;583,44
IE3-22.00kW-6P;313451;813,634
IE3-3.00kW-2P;313404;125,174
IE3-3.00kW-4P;313419;133,661
IE3-3.00kW-6P;313444;206,857
IE3-30.00kW-6P;313452;1103,232
IE3-4.00kW-2P;313405;151,695
IE3-4.00kW-4P;313425;153,817
IE3-4.00kW-6P;313445;248,227
IE3-5.50kW-2P;313406;223,829
IE3-5.50kW-4P;313426;232,316
IE3-5.50kW-6P;313446;266,261
IE3-5.50kW-8P;313941;450,841
IE3-7.50kW-2P;313407;242,924
IE3-7.50kW-4P;313427;249,289
IE3-7.50kW-6P;313447;362,794
MotorEC-0.50kW-3080;90732650;271,238
MotorEC-0.48kW-2510;90732652;274,856
MotorEC-0.48kW-2100;90732654;283,975
MotorEC-1.35kW-2920;90732656;448,568
MotorEC-1.35kW-2400;90732658;474,329
MotorEC-2.50kW-2970;90732660;471,646
MotorEC-1.25kW-1950;90732662;499,022
MotorEC-2.40kW-2400;90732664;496,318
MotorEC-1.05kW-1500;90732666;540,296
MotorEC-2.00kW-1880;90732668;533,614
MotorEC-3.60kW-2260;90732670;603,58
MotorEC-3.50kW-1860;90732672;688,883
MotorEC-5.40kW-2130;90732674;774,012
MotorEC-3.40kW-1550;90732676;751,869
MotorEC-5.00kW-1750;90732678;830,151
MotorEC-2.90kW-1200;90732679;857,352
MotorEC-3.80kW-1320;90732680;784,649
MotorEC-4.60kW-1400;90732681;921,551
IE4-0.80kW-3800;92850002;292,714
IE4-0.90kW-3300;92850006;151,883
IE4-1.00kW-2900;92850010;149,019
IE4-1.30kW-2500;92850014;359,063
IE4-1.40kW-3200;92850008;359,014
IE4-1.40kW-3700;92850004;310,202
IE4-1.80kW-2350;92850018;347,468
IE4-1.80kW-2800;92850012;419,252
IE4-11.50kW-930;92850062;1002,966
IE4-12.50kW-1150;92850060;1002,966
IE4-2.30kW-2100;92850024;394,839
IE4-2.60kW-2650;92850016;220,659
IE4-3.10kW-1850;92850028;442,142
IE4-3.20kW-2350;92850022;451,418
IE4-3.90kW-1700;92850032;533,997
IE4-4.10kW-2050;92850026;272,42
IE4-5.20kW-1550;92850040;827,555
IE4-5.20kW-1900;92850030;564,753
IE4-5.30kW-1000;92850050;1045,63
IE4-6.20kW-1350;92850046;535,878
IE4-6.90kW-1700;92850044;524,28
IE4-8.10kW-1000;92850058;961,419
IE4-8.50kW-1500;92850048;659,091
IE4-9.10kW-1250;92850056;961,419
RH22C;90730601;63,664
RH71C;90730622;224,042
RH80C;90730624;292,415
RH90C;90730626;387,741
RH10C;90730628;497,84
RH25C;90732610;64,579
RH28C;90732614;67,396
RH31C;90732618;70,726
RH35C;90732622;76,411
RH40C;90732624;88,768
RH45C;90732626;112,977
RH50C;90732628;130,535
RH56C;90732632;150,458
RH63C;90732636;192,123
3.7-20;90811200;150,695
5.3-20;90811201;157,705
7.2-20;90811202;166,803
9.0-20;90811203;184,793
12.0-20;90811204;206,875
15.5-20;90811205;249,465
23.0-20;90811206;320,52
31.0-20;90811207;405,813
37.0-20;90811208;510,361
42.5-20;90811209;582,3
61.0-20;90811210;814,536
73.0-20;90811211;932,787
90.0-20;90811212;1138,109
2.2-54;90811250;206,566
3.7-54;90811251;215,263
5.3-54;90811252;216,353
7.2-54;90811253;227,928
9.0-54;90811254;250,668
12.0-54;90811255;278,321
15.5-54;90811256;332,178
23.0-54;90811257;421,562
31.0-54;90811258;529,924
37.0-54;90811259;639,498
42.5-54;90811260;821,989
61.0-54;90811261;946,593
73.0-54;90811262;1081,816
90.0-54;90811263;1363,035
3.0-55;90811350;295,427
4.1-55;90811352;355,174
5.6-55;90811354;343,866
7.2-55;90811356;403,469
10.0-55;90811358;447,766
13.0-55;90811360;464,183
16.0-55;90811362;591,964
24.0-55;90811364;698,906
32.0-55;90811366;866,697
37.5-55;90811368;1041,796
44.0-55;90811370;1192,069
61.0-55;90811372;1477,143
73.0-55;90811374;1766,371
DV10-G4-360;90672800;29,401
DV10-F5-535;90672801;30,902
DV10-F6-535;90672802;40,174
DV10-F7-535;90672803;41,099
DV10-F7-635;90672805;47,257
DV10-F7 CytyFlo-520;90672700;101,412
DV10-F7 CytyFlo-640;90572701;112,515
DV10-F9-535;90672804;50,588
DV10-F9-635;90672806;67,056
DV15-G4-360;90672807;21,907
DV15-F5-535;90672808;27,756
DV15-F6-535;90672809;45,756
DV15-F7-535;90672810;45,756
DV15-F7-635;90672812;53,25
DV15-F7 CytyFlo-520;90672704;130,206
DV15-F7 CytyFlo-640;90672705;145,966
DV15-F9-535;90672811;46,959
DV15-F9-635;90672813;60,601
DV20-G4-360;90672814;29,257
DV20-F5-535;90672815;43,207
DV20-F6-535;90672816;57,918
DV20-F7-535;90672817;59,254
DV20-F7-635;90672819;64,805
DV20-F7 CytyFlo-520;90672708;127,513
DV20-F7 CytyFlo-640;90672709;146,716
DV20-F9-535;90672818;66,727
DV20-F9-635;90672820;86,712
DV25-G4-360;90672821;23,85
DV25-F5-535;90672822;34,356
DV25-F6-535;90672823;59,542
DV25-F7-535;90672824;60,909
DV25-F7-635;90672826;73,204
DV25-F7 CytyFlo-520;90672712;187,332
DV25-F7 CytyFlo-640;90672713;153,316
DV25-F9-535;90672825;68,043
DV25-F9-635;90672827;89,703
DV30-G4-360;90672828;30,151
DV30-F5-535;90672829;40,956
DV30-F6-535;90672830;68,485
DV30-F7-535;90672831;70,058
DV30-F7-635;90672833;83,854
DV30-F7 CytyFlo-520;90672716;158,713
DV30-F7 CytyFlo-640;90672717;182,264
DV30-F9-535;90672832;80,801
DV30-F9-635;90672834;102,759
DV40-G4-360;90672550;51,451
DV40-F5-535;90672251;64,959
DV40-F7-535;90672553;97,506
DV40-F7-635;90672555;113,255
DV40-F9-535;90672554;122,712
DV40-F9-635;90672556;150,612
DV50-G4-360;90672835;65,257
DV50-F5-535;90672836;91,955
DV50-F6-535;90672837;142,82
DV50-F7-535;90672838;146,11
DV50-F7-635;90672840;162,917
DV50-F7 CytyFlo-520;90672724;363,778
DV50-F7 CytyFlo-640;90672725;451,693
DV50-F9-535;90672839;173,619
DV50-F9-635;90672841;211,521
DV60-G4-360;90672842;123,607
DV60-F5-535;90672843;153,768
DV60-F6-535;90672844;197,869
DV60-F7-535;90672845;197,869
DV60-F7-635;90672847;228,319
DV60-F7 CytyFlo-520;90672728;451,693
DV60-F7 CytyFlo-640;90672729;451,693
DV60-F9-535;90672846;306,036
DV60-F9-635;90672848;334,974
DV80-G4-360;90672849;101,258
DV80-F5-535;90672850;138,307
DV80-F6-535;90672851;213,166
DV80-F7-535;90672852;213,166
DV80-F7-635;90672854;245,116
DV80-F7 CytyFlo-520;90672732;451,693
DV80-F7 CytyFlo-640;90672734;519,047
DV80-F9-535;90672853;270,323
DV80-F9-635;90672855;332,733
DV100-G4-360;90672856;91,204
DV100-F5-535;90672857;126,763
DV100-F6-535;90672858;226,818
DV100-F7-535;90672859;226,818
DV100-F7-635;90672861;255,026
DV100-F7 CytyFlo-520;90672736;493,389
DV100-F7 CytyFlo-640;90672737;563,303
DV100-F9-535;90672860;262,675
DV100-F9-635;90672862;315,925
DV120-G4-360;90672863;134,411
DV120-F5-535;90672864;192,318
DV120-F6-535;90672865;226,818
DV120-F7-535;90672866;226,818
DV120-F7-635;90672868;255,026
DV120-F7 CytyFlo-520;90672740;748,867
DV120-F7 CytyFlo-640;90672741;849,971
DV120-F9-535;90672867;262,675
DV120-F9-635;90672869;315,925
DV150-G4-360;90672870;207,019
DV150-F5-535;90672871;311,875
DV150-F6-535;90672872;372,928
DV150-F7-535;90672873;372,928
DV150-F7-635;90672875;469,693
DV150-F7 CytyFlo-520;90672744;980,136
DV150-F7 CytyFlo-640;90672745;1122,843
DV150-F9-535;90672874;493,543
DV150-F9-635;90672876;578,6
DV190-G4-360;90672877;178,368
DV190-F5-535;90672878;255,026
DV190-F6-535;90672879;487,241
DV190-F7-535;90672880;487,241
DV190-F7-635;90672882;522,193
DV190-F7 CytyFlo-520;90672748;989,933
DV190-F7 CytyFlo-640;90672749;1149,098
DV190-F9-535;90672881;525,349
DV190-F9-635;90672883;630,349
DV240-G4-360;90672884;250,369
DV240-F5-535;90672885;347,731
DV240-F6-535;90672886;666,956
DV240-F7-535;90672887;666,956
DV240-F7-635;90672889;696,511
DV240-F7 CytyFlo-520;90672752;1347,112
DV240-F7 CytyFlo-640;90672753;1547,387
DV240-F9-535;90672888;662,31
DV240-F9-635;90672890;784,271
DV10-G4-44;90670135;13,734
DV15-G4-44;90670136;14,927
DV20-G4-44;90670137;22,02
DV25-G4-44;90670138;24,251
DV30-G4-44;90670139;24,518
DV40-G4-44;90670140;43,813
DV50-G4-44;90670141;47,401
DV60-G4-44;90670142;63,068
DV80-G4-44;90670143;64,815
DV100-G4-44;90670144;81,736
DV120-G4-44;90670145;114,858
DV150-G4-44;90670146;155,711
DV190-G4-25;90670147;92,325
DV240-G4-25;90670148;131,348
DV40-F6-535;90670083;91,718
DV10-F7-640;90672805;47,257
DV10-F9-640;90672806;67,056
DV15-F7-640;90672812;53,25
DV15-F9-640;90672813;60,601
DV20-F7-640;90672819;64,805
DV20-F9-640;90672820;86,712
DV25-F7-640;90672826;73,204
DV25-F9-640;90672827;89,703
DV30-F7-640;90672833;83,854
DV30-F9-640;90672834;102,759
DV40-F7-640;90672555;113,255
DV40-F9-640;90672556;150,612
DV50-F7-640;90672840;162,917
DV50-F9-640;90672841;211,521
DV60-F7-640;90672847;228,319
DV60-F9-640;90672848;334,974
DV80-F7-640;90672854;245,116
DV80-F9-640;90672855;332,733
DV100-F7-640;90672861;255,026
DV100-F9-640;90672862;315,925
DV120-F7-640;90672868;255,026
DV120-F9-640;90672869;315,925
DV150-F7-640;90672875;469,693
DV150-F9-640;90672876;578,6
DV190-F7-640;90672882;522,193
DV190-F9-640;90672883;630,349
DV240-F7-640;90672889;696,511
DV240-F9-640;90672890;784,271
DV10-F5-520;90672801;30,902
DV10-F6-520;90672802;40,174
DV10-F7-520;90672803;41,099
DV10-F9-520;90672804;50,588
DV15-F5-520;90672808;27,756
DV15-F6-520;90672809;45,756
DV15-F7-520;90672810;45,756
DV15-F9-520;90672811;46,959
DV20-F5-520;90672815;43,207
DV20-F6-520;90672816;57,918
DV20-F7-520;90672817;59,254
DV20-F9-520;90672818;66,727
DV25-F5-520;90672822;34,356
DV25-F6-520;90672823;59,542
DV25-F7-520;90672824;60,909
DV25-F9-520;90672825;68,043
DV30-F5-520;90672829;40,956
DV30-F6-520;90672830;68,485
DV30-F7-520;90672831;70,058
DV30-F9-520;90672832;80,801
DV40-F5-520;90672251;64,959
DV40-F7-520;90672553;97,506
DV40-F9-520;90672554;122,712
DV50-F5-520;90672836;91,955
DV50-F6-520;90672837;142,82
DV50-F7-520;90672838;146,11
DV50-F9-520;90672839;173,619
DV60-F5-520;90672843;153,768
DV60-F6-520;90672844;197,869
DV60-F7-520;90672845;197,869
DV60-F9-520;90672846;306,036
DV80-F5-520;90672850;138,307
DV80-F6-520;90672851;213,166
DV80-F7-520;90672852;213,166
DV80-F9-520;90672853;270,323
DV100-F5-520;90672857;126,763
DV100-F6-520;90672858;226,818
DV100-F7-520;90672859;226,818
DV100-F9-520;90672860;262,675
DV120-F5-520;90672864;192,318
DV120-F6-520;90672865;226,818
DV120-F7-520;90672866;226,818
DV120-F9-520;90672867;262,675
DV150-F5-520;90672871;311,875
DV150-F6-520;90672872;372,928
DV150-F7-520;90672873;372,928
DV150-F9-520;90672874;493,543
DV190-F5-520;90672878;255,026
DV190-F6-520;90672879;487,241
DV190-F7-520;90672880;487,241
DV190-F9-520;90672881;525,349
DV240-F5-520;90672885;347,731
DV240-F6-520;90672886;666,956
DV240-F7-520;90672887;666,956
DV240-F9-520;90672888;662,31
DV40-F6-520;90670083;91,718
2.2-20;90811199;145,01
9.1-20;90811203;184,793
9.1-54;90811254;250,668
3.0-20;90811302;231,814
4.1-20;90811304;296,671
5.6-20;90811306;283,008
10.0-20;90811310;387,33
13.0-20;90811312;403,469
16.0-20;90811314;531,939
24.0-20;90811316;630,185
32.0-20;90811318;790,799
37.5-20;90811320;945,349
44.0-20;90811322;1116,038
